user,item,rating,pos
0,0,1,0
0,1,1,1
0,2,1,2
0,3,1,3
0,4,1,4
0,5,1,5
0,6,1,6
0,7,1,7
0,8,1,8
0,9,1,9
0,10,1,10
0,11,1,11
0,12,1,12
0,13,1,13
0,14,1,14
0,15,1,15
0,16,1,16
0,17,1,17
0,18,1,18
0,19,1,19
0,20,1,20
0,21,1,21
0,22,1,22
0,23,1,23
0,24,1,24
0,25,1,25
0,26,1,26
0,27,1,27
0,28,1,28
0,29,1,29
0,30,1,30
0,31,1,31
0,32,1,32
0,33,1,33
0,34,1,34
0,35,1,35
0,36,1,36
0,37,1,37
0,38,1,38
0,39,1,39
0,40,1,40
0,41,1,41
0,42,1,42
0,43,1,43
0,44,1,44
0,45,1,45
0,46,1,46
0,47,1,47
0,48,1,48
0,49,1,49
0,50,1,50
0,31,1,51
1,51,1,0
1,52,1,1
1,53,1,2
1,54,1,3
1,55,1,4
1,56,1,5
1,57,1,6
1,58,1,7
1,59,1,8
1,60,1,9
1,61,1,10
1,62,1,11
1,63,1,12
1,64,1,13
1,65,1,14
1,66,1,15
1,67,1,16
1,68,1,17
1,69,1,18
1,70,1,19
1,71,1,20
1,72,1,21
1,73,1,22
1,74,1,23
1,75,1,24
1,76,1,25
1,77,1,26
1,78,1,27
1,79,1,28
1,80,1,29
1,81,1,30
1,82,1,31
1,83,1,32
1,84,1,33
1,85,1,34
1,86,1,35
1,87,1,36
1,88,1,37
1,89,1,38
2,90,1,0
2,91,1,1
2,92,1,2
2,93,1,3
2,94,1,4
2,95,1,5
2,96,1,6
2,97,1,7
2,98,1,8
2,99,1,9
2,100,1,10
2,101,1,11
2,102,1,12
2,103,1,13
2,104,1,14
2,105,1,15
2,106,1,16
2,107,1,17
2,108,1,18
2,109,1,19
2,110,1,20
2,111,1,21
2,112,1,22
2,113,1,23
2,114,1,24
2,115,1,25
2,116,1,26
2,117,1,27
2,118,1,28
2,119,1,29
2,120,1,30
2,121,1,31
2,122,1,32
2,123,1,33
2,124,1,34
2,125,1,35
2,126,1,36
2,127,1,37
2,128,1,38
2,129,1,39
2,130,1,40
2,131,1,41
2,132,1,42
2,133,1,43
2,134,1,44
2,135,1,45
2,136,1,46
2,137,1,47
2,138,1,48
2,139,1,49
2,140,1,50
2,141,1,51
2,142,1,52
2,143,1,53
2,144,1,54
2,145,1,55
2,146,1,56
2,147,1,57
2,148,1,58
2,149,1,59
2,150,1,60
2,151,1,61
2,152,1,62
2,153,1,63
3,154,1,0
3,155,1,1
3,156,1,2
3,157,1,3
3,158,1,4
3,159,1,5
3,160,1,6
3,161,1,7
3,162,1,8
3,163,1,9
3,164,1,10
3,165,1,11
3,166,1,12
3,167,1,13
3,168,1,14
3,169,1,15
3,170,1,16
3,171,1,17
3,172,1,18
3,173,1,19
3,174,1,20
3,175,1,21
3,176,1,22
3,177,1,23
3,178,1,24
3,179,1,25
3,180,1,26
3,181,1,27
3,182,1,28
3,183,1,29
3,184,1,30
3,185,1,31
3,186,1,32
3,187,1,33
3,188,1,34
3,189,1,35
3,190,1,36
3,191,1,37
3,192,1,38
3,193,1,39
3,194,1,40
3,195,1,41
3,196,1,42
3,197,1,43
3,198,1,44
3,199,1,45
3,200,1,46
3,201,1,47
3,202,1,48
3,203,1,49
3,204,1,50
3,205,1,51
3,206,1,52
3,207,1,53
3,208,1,54
3,209,1,55
3,210,1,56
3,211,1,57
3,212,1,58
3,213,1,59
3,214,1,60
3,215,1,61
3,216,1,62
3,217,1,63
3,218,1,64
3,219,1,65
3,220,1,66
3,221,1,67
3,222,1,68
3,223,1,69
3,224,1,70
3,225,1,71
3,226,1,72
3,227,1,73
3,228,1,74
3,229,1,75
3,230,1,76
3,231,1,77
3,232,1,78
3,233,1,79
3,234,1,80
3,235,1,81
3,236,1,82
3,237,1,83
3,238,1,84
3,239,1,85
3,240,1,86
3,241,1,87
3,242,1,88
3,243,1,89
3,244,1,90
3,245,1,91
3,246,1,92
3,247,1,93
3,248,1,94
3,249,1,95
3,250,1,96
3,251,1,97
3,252,1,98
3,253,1,99
3,254,1,100
3,255,1,101
3,256,1,102
3,257,1,103
3,258,1,104
3,259,1,105
3,260,1,106
3,261,1,107
3,262,1,108
3,263,1,109
3,264,1,110
3,265,1,111
3,266,1,112
3,267,1,113
3,268,1,114
3,269,1,115
3,270,1,116
3,271,1,117
3,272,1,118
3,273,1,119
3,274,1,120
3,275,1,121
3,276,1,122
3,277,1,123
3,278,1,124
3,279,1,125
4,280,1,0
4,281,1,1
4,282,1,2
4,283,1,3
4,284,1,4
4,285,1,5
4,286,1,6
4,287,1,7
4,288,1,8
4,289,1,9
4,290,1,10
4,291,1,11
4,292,1,12
4,293,1,13
4,294,1,14
4,295,1,15
4,296,1,16
5,297,1,0
5,30,1,1
5,298,1,2
5,299,1,3
5,300,1,4
5,301,1,5
5,302,1,6
5,303,1,7
5,304,1,8
5,305,1,9
5,5,1,10
5,306,1,11
5,307,1,12
5,308,1,13
5,309,1,14
5,310,1,15
5,311,1,16
5,312,1,17
5,310,1,18
5,313,1,19
5,314,1,20
5,315,1,21
5,316,1,22
5,317,1,23
5,33,1,24
5,318,1,25
5,319,1,26
5,320,1,27
5,321,1,28
5,322,1,29
5,302,1,30
5,323,1,31
5,324,1,32
5,325,1,33
5,326,1,34
5,327,1,35
5,328,1,36
5,329,1,37
5,330,1,38
5,331,1,39
5,332,1,40
5,333,1,41
5,334,1,42
5,335,1,43
5,336,1,44
5,337,1,45
5,338,1,46
5,339,1,47
5,340,1,48
5,341,1,49
5,342,1,50
5,343,1,51
5,344,1,52
5,345,1,53
5,346,1,54
5,347,1,55
5,348,1,56
5,338,1,57
5,349,1,58
5,350,1,59
5,351,1,60
5,352,1,61
5,353,1,62
5,354,1,63
5,355,1,64
5,348,1,65
5,356,1,66
5,357,1,67
5,332,1,68
5,358,1,69
5,359,1,70
5,360,1,71
5,361,1,72
5,362,1,73
5,363,1,74
5,364,1,75
5,365,1,76
5,366,1,77
5,367,1,78
5,368,1,79
6,369,1,0
6,370,1,1
6,371,1,2
6,372,1,3
6,373,1,4
6,374,1,5
6,375,1,6
6,376,1,7
6,377,1,8
6,378,1,9
6,379,1,10
6,380,1,11
6,381,1,12
6,382,1,13
6,383,1,14
6,384,1,15
7,385,1,0
7,386,1,1
7,387,1,2
7,388,1,3
7,389,1,4
7,390,1,5
7,391,1,6
7,392,1,7
7,393,1,8
7,394,1,9
7,395,1,10
7,396,1,11
7,397,1,12
7,398,1,13
7,399,1,14
7,400,1,15
7,401,1,16
7,402,1,17
7,403,1,18
7,404,1,19
7,405,1,20
7,406,1,21
7,407,1,22
7,408,1,23
7,409,1,24
7,410,1,25
7,411,1,26
7,412,1,27
7,413,1,28
7,414,1,29
7,415,1,30
7,416,1,31
7,417,1,32
7,418,1,33
7,419,1,34
7,420,1,35
7,421,1,36
7,402,1,37
7,422,1,38
7,423,1,39
7,424,1,40
7,425,1,41
7,426,1,42
7,427,1,43
7,428,1,44
7,429,1,45
7,430,1,46
7,431,1,47
7,432,1,48
7,433,1,49
7,434,1,50
7,435,1,51
7,436,1,52
8,437,1,0
8,438,1,1
8,439,1,2
8,440,1,3
8,441,1,4
8,442,1,5
8,443,1,6
8,444,1,7
8,445,1,8
8,446,1,9
8,447,1,10
8,448,1,11
8,449,1,12
8,450,1,13
8,451,1,14
8,452,1,15
8,453,1,16
8,454,1,17
8,455,1,18
8,456,1,19
8,457,1,20
8,458,1,21
8,459,1,22
8,460,1,23
8,461,1,24
8,462,1,25
8,463,1,26
8,464,1,27
8,465,1,28
8,466,1,29
8,467,1,30
8,468,1,31
8,469,1,32
8,470,1,33
8,471,1,34
8,472,1,35
8,473,1,36
8,474,1,37
8,475,1,38
8,476,1,39
8,477,1,40
8,478,1,41
8,479,1,42
8,480,1,43
8,481,1,44
8,482,1,45
9,483,1,0
9,483,1,1
9,484,1,2
9,485,1,3
9,486,1,4
9,487,1,5
9,488,1,6
9,489,1,7
9,490,1,8
9,491,1,9
9,492,1,10
9,493,1,11
9,494,1,12
9,495,1,13
9,496,1,14
9,497,1,15
9,498,1,16
9,499,1,17
9,500,1,18
9,501,1,19
9,502,1,20
10,503,1,0
10,504,1,1
10,505,1,2
10,506,1,3
10,507,1,4
10,508,1,5
10,509,1,6
10,510,1,7
10,511,1,8
10,512,1,9
10,513,1,10
10,514,1,11
10,515,1,12
10,516,1,13
10,517,1,14
10,518,1,15
10,519,1,16
10,520,1,17
10,521,1,18
10,522,1,19
10,523,1,20
10,524,1,21
10,525,1,22
10,526,1,23
10,527,1,24
10,528,1,25
10,529,1,26
10,530,1,27
10,531,1,28
10,532,1,29
10,533,1,30
10,534,1,31
10,535,1,32
10,536,1,33
10,537,1,34
10,538,1,35
10,539,1,36
10,540,1,37
10,541,1,38
10,542,1,39
10,543,1,40
10,544,1,41
10,545,1,42
10,546,1,43
10,547,1,44
10,548,1,45
10,549,1,46
10,550,1,47
10,551,1,48
10,552,1,49
10,553,1,50
10,554,1,51
10,555,1,52
10,556,1,53
10,557,1,54
10,558,1,55
10,559,1,56
10,560,1,57
10,561,1,58
10,562,1,59
10,563,1,60
10,564,1,61
10,565,1,62
10,566,1,63
10,567,1,64
10,568,1,65
10,569,1,66
10,570,1,67
10,571,1,68
10,572,1,69
10,573,1,70
10,574,1,71
11,575,1,0
11,576,1,1
11,577,1,2
11,578,1,3
11,579,1,4
11,580,1,5
11,581,1,6
11,582,1,7
11,583,1,8
11,584,1,9
11,585,1,10
11,586,1,11
11,587,1,12
11,588,1,13
11,589,1,14
11,590,1,15
11,591,1,16
11,592,1,17
11,593,1,18
11,594,1,19
11,595,1,20
11,596,1,21
11,597,1,22
11,598,1,23
11,599,1,24
11,600,1,25
11,601,1,26
11,602,1,27
11,603,1,28
11,604,1,29
11,605,1,30
11,606,1,31
11,607,1,32
11,608,1,33
11,609,1,34
11,610,1,35
11,611,1,36
11,612,1,37
11,613,1,38
11,614,1,39
11,615,1,40
11,616,1,41
11,617,1,42
11,618,1,43
11,619,1,44
11,620,1,45
11,621,1,46
11,622,1,47
11,623,1,48
11,624,1,49
11,625,1,50
11,626,1,51
11,627,1,52
11,628,1,53
11,629,1,54
11,630,1,55
11,631,1,56
11,632,1,57
11,633,1,58
11,634,1,59
11,635,1,60
11,636,1,61
11,637,1,62
11,638,1,63
11,639,1,64
11,640,1,65
11,641,1,66
11,642,1,67
11,643,1,68
11,644,1,69
11,645,1,70
11,646,1,71
11,647,1,72
11,290,1,73
11,648,1,74
11,649,1,75
11,637,1,76
11,650,1,77
11,651,1,78
11,652,1,79
11,653,1,80
11,654,1,81
11,655,1,82
11,656,1,83
11,657,1,84
11,658,1,85
11,659,1,86
11,660,1,87
11,661,1,88
11,662,1,89
11,641,1,90
11,663,1,91
11,664,1,92
11,665,1,93
11,666,1,94
11,667,1,95
11,668,1,96
11,293,1,97
11,669,1,98
11,670,1,99
11,671,1,100
11,672,1,101
11,673,1,102
11,674,1,103
11,675,1,104
11,676,1,105
11,677,1,106
11,678,1,107
11,679,1,108
11,680,1,109
11,681,1,110
11,682,1,111
11,683,1,112
11,681,1,113
11,684,1,114
11,685,1,115
11,686,1,116
11,687,1,117
11,688,1,118
11,689,1,119
11,690,1,120
11,691,1,121
11,692,1,122
11,693,1,123
11,694,1,124
11,695,1,125
11,696,1,126
11,697,1,127
11,698,1,128
11,699,1,129
11,700,1,130
11,701,1,131
11,702,1,132
11,631,1,133
12,703,1,0
12,704,1,1
12,705,1,2
12,706,1,3
12,707,1,4
12,708,1,5
12,709,1,6
12,710,1,7
12,711,1,8
13,712,1,0
13,713,1,1
13,714,1,2
13,715,1,3
13,716,1,4
13,717,1,5
13,718,1,6
13,719,1,7
13,720,1,8
13,721,1,9
13,722,1,10
13,723,1,11
13,724,1,12
14,725,1,0
14,726,1,1
14,727,1,2
14,728,1,3
14,729,1,4
14,730,1,5
14,731,1,6
14,732,1,7
14,733,1,8
14,734,1,9
14,735,1,10
14,736,1,11
14,737,1,12
14,39,1,13
14,738,1,14
14,739,1,15
14,740,1,16
14,741,1,17
14,742,1,18
14,743,1,19
14,65,1,20
14,744,1,21
14,745,1,22
